sleepStartTimestampGMT,sleepEndTimestampGMT,calendarDate,sleepWindowConfirmationType,deepSleepSeconds,lightSleepSeconds,awakeSleepSeconds,unmeasurableSeconds,retro,remSleepSeconds,sleepStartTimestamp,sleepEndTimestamp,deepSleepHours,lightSleepHours,awakeHours,totalSleepHours,totalTimeInBedHours,sleepEfficiency,dayOfWeek,dayOfWeekName,month,monthName,year,quarter,season,sleepTimeHour,wakeTimeHour,deepSleepPercent,rolling_30d,deep_roll,light_roll,sleep_roll,wake_roll,eff_roll
2025-08-27T22:49:00.0,2025-08-28T05:49:00.0,2025-08-28,ENHANCED_CONFIRMED,6000.0,12600.0,60.0,0.0,False,6540.0,2025-08-27 22:49:00.000,2025-08-28 05:49:00,1.6666666666666667,3.5,0.016666666666666666,5.166666666666667,7.0,73.80952380952381,3,Thursday,8,August,2025,3,Summer,22.816666666666666,5.816666666666666,32.25806451612903,,,,21.49888888888889,5.680555555555555,
2025-08-28T23:21:00.0,2025-08-29T06:34:00.0,2025-08-29,ENHANCED_CONFIRMED,3300.0,17640.0,60.0,0.0,False,4980.0,2025-08-28 23:21:00.000,2025-08-29 06:34:00,0.9166666666666666,4.9,0.016666666666666666,5.816666666666667,7.216666666666667,80.60046189376445,4,Friday,8,August,2025,3,Summer,23.35,6.566666666666666,15.759312320916901,,,,21.545,5.702777777777778,
2025-08-29T21:45:00.0,2025-08-30T06:20:00.0,2025-08-30,ENHANCED_CONFIRMED_FINAL,6420.0,17460.0,660.0,0.0,False,6360.0,2025-08-29 21:45:00.000,2025-08-30 06:20:00,1.7833333333333334,4.85,0.18333333333333332,6.633333333333333,8.583333333333334,77.28155339805825,5,Saturday,8,August,2025,3,Summer,21.75,6.333333333333333,26.88442211055277,5.936666666666667,1.6144444444444443,4.322222222222222,21.563333333333333,5.741111111111111,80.65531522262613
2025-08-30T23:13:00.0,2025-08-31T06:10:00.0,2025-08-31,ENHANCED_CONFIRMED_FINAL,6660.0,12480.0,120.0,0.0,False,5760.0,2025-08-30 23:13:00.000,2025-08-31 06:10:00,1.85,3.466666666666667,0.03333333333333333,5.316666666666666,6.95,76.49880095923261,6,Sunday,8,August,2025,3,Summer,23.216666666666665,6.166666666666667,34.79623824451411,5.9366666666666665,1.5494444444444444,4.387222222222222,21.546666666666667,5.7444444444444445,80.46108656777133
2025-08-31T22:36:00.0,2025-09-01T06:22:00.0,2025-09-01,ENHANCED_CONFIRMED_FINAL,3360.0,18240.0,60.0,0.0,False,6300.0,2025-08-31 22:36:00.000,2025-09-01 06:22:00,0.9333333333333333,5.066666666666666,0.016666666666666666,6.0,7.766666666666667,77.25321888412017,0,Monday,9,September,2025,3,Autumn,22.6,6.366666666666666,15.555555555555555,5.896666666666666,1.522777777777778,4.373888888888889,21.588888888888892,5.762777777777777,80.1807010880692
2025-09-01T23:02:00.0,2025-09-02T05:33:00.0,2025-09-02,ENHANCED_CONFIRMED_FINAL,3660.0,15540.0,120.0,0.0,False,4140.0,2025-09-01 23:02:00.000,2025-09-02 05:33:00,1.0166666666666666,4.316666666666666,0.03333333333333333,5.333333333333333,6.516666666666667,81.84143222506394,1,Tuesday,9,September,2025,3,Autumn,23.033333333333335,5.55,19.0625,5.8694444444444445,1.5444444444444445,4.325,21.633333333333333,5.760555555555555,80.32971746818546
2025-09-02T22:25:00.0,2025-09-03T05:27:00.0,2025-09-03,ENHANCED_CONFIRMED_FINAL,0.0,20760.0,300.0,0.0,False,4260.0,2025-09-02 22:25:00.000,2025-09-03 05:27:00,0.0,5.766666666666667,0.08333333333333333,5.766666666666667,7.033333333333333,81.99052132701422,2,Wednesday,9,September,2025,3,Autumn,22.416666666666668,5.45,0.0,5.883888888888889,1.5161111111111112,4.3677777777777775,21.674444444444443,5.832777777777777,80.12900786261221
2025-09-03T22:25:00.0,2025-09-04T05:55:00.0,2025-09-04,ENHANCED_CONFIRMED_FINAL,6600.0,13980.0,960.0,0.0,False,5460.0,2025-09-03 22:25:00.000,2025-09-04 05:55:00,1.8333333333333333,3.8833333333333333,0.26666666666666666,5.716666666666667,7.5,76.22222222222223,3,Thursday,9,September,2025,3,Autumn,22.416666666666668,5.916666666666667,32.06997084548105,5.872777777777778,1.51,4.362777777777778,21.68,5.829444444444444,80.0782217881423
2025-09-04T23:37:00.0,2025-09-05T05:30:00.0,2025-09-05,ENHANCED_CONFIRMED_FINAL,4500.0,11400.0,120.0,0.0,False,5160.0,2025-09-04 23:37:00.000,2025-09-05 05:30:00,1.25,3.1666666666666665,0.03333333333333333,4.416666666666666,5.883333333333334,75.07082152974502,4,Friday,9,September,2025,3,Autumn,23.616666666666667,5.5,28.301886792452834,5.938888888888889,1.4783333333333333,4.460555555555556,21.628888888888888,5.834444444444444,80.30447426079176
2025-09-05T20:12:00.0,2025-09-06T06:20:00.0,2025-09-06,ENHANCED_CONFIRMED_FINAL,3000.0,25140.0,1020.0,0.0,False,7320.0,2025-09-05 20:12:00.000,2025-09-06 06:20:00,0.8333333333333334,6.983333333333333,0.2833333333333333,7.816666666666666,10.133333333333333,77.13815789473685,5,Saturday,9,September,2025,3,Autumn,20.2,6.333333333333333,10.660980810234543,5.987777777777778,1.4594444444444445,4.528333333333334,21.582222222222224,5.845,80.31963629871213
